AI0,AI2,AO0
-0.0048984,1.019634,0.0
-0.0044444,1.0308592,0.0
-0.0061964,1.0507136,0.0
-0.0032764,1.0651832,0.0
-0.002887,1.0651832,0.0
-0.0031466,1.0485078,0.0
-0.0012,1.0239164,0.0
-0.0059368,1.0093174,0.0
-0.0078184,1.0278742,0.0
-0.00399,1.0620688,0.0
-0.0046388,1.080496,0.0
0.0001626,1.0787442,0.0
0.0001624,1.0532444,0.0
-0.00399,1.0237218,0.0
-0.0045092,1.0228136,0.0
-0.006261,1.038775,0.0
-0.0052228,1.0631068,0.0
-0.0024328,1.0824426,0.0
-0.001265,1.0719962,0.0
-0.0010706,1.0481184,0.0
-0.0043144,1.0338438,0.0
-0.0039902,1.0341684,0.0
-0.0033416,1.04721,0.0
-0.0045094,1.061355,0.0
-0.0022382,1.0713472,0.0
-0.0027574,1.0694658,0.0
-0.0013298,1.0548014,0.0
-0.0013946,1.0475996,0.0
-0.0040548,1.044485,0.0
-0.002433,1.0499354,0.0
-0.0038602,1.0588244,0.0
-0.0045094,1.0647292,0.0
-0.0008756,1.0686224,0.0
-0.0026926,1.0622634,0.0
-0.0016542,1.0581756,0.0
-0.001265,1.0548664,0.0
-0.0052878,1.0526604,0.0
-0.0036658,1.0605116,0.0
-0.0038604,1.0633664,0.0
-0.0036656,1.064729,0.0
-0.0013948,1.0692062,0.0
-0.0032762,1.064729,0.0
-0.0031468,1.064859,0.0
-0.0031466,1.0657022,0.0
-0.0050932,1.0617442,0.0
-0.0025626,1.0622634,0.0
-0.0050282,1.0625878,0.0
-0.0032114,1.070893,0.0
-0.0025628,1.0766676,0.0
-0.004055,1.0739426,0.0
-0.003471,1.071412,0.0
-0.0036008,1.0636908,0.0
-0.0048984,1.0583054,0.0
-0.0043146,1.0639504,0.0
-0.004574,1.073164,0.0
-0.0028222,1.0826372,0.0
-0.0033414,1.0794576,0.0
-0.0052878,1.069206,0.0
-0.0043146,1.065897,0.0
-0.0047036,1.0639506,0.0
